id,category,type,difficulty,update_required,question,choice_1,choice_2,choice_3,choice_4,answer_index_0based,answer,explanation,source_ids,source_titles,source_urls
EHIME-001,県土・市町・地域区分,single_choice,basic,False,愛媛県の現在の市町数として正しいものはどれか。,10市10町,11市9町,12市8町,13市7町,1,11市9町,愛媛県は現在、11市9町の20市町で構成されている。,S01,愛媛県庁「県内市町情報」,https://www.pref.ehime.jp/page/14990.html
EHIME-002,県土・市町・地域区分,single_choice,basic,False,愛媛県の地域区分として県が示している3区分の組合せはどれか。,東予・中予・南予,北予・中予・南予,東部・中央・西部,山予・海予・島予,0,東予・中予・南予,県は東部の東予、中央部の中予、南西部の南予の3地域に分けている。,S01,愛媛県庁「県内市町情報」,https://www.pref.ehime.jp/page/14990.html
EHIME-003,県土・市町・地域区分,single_choice,basic,False,次のうち、東予地域に含まれる市町の組合せとして正しいものはどれか。,今治市・新居浜市・西条市・四国中央市・上島町,松山市・伊予市・東温市・松前町・砥部町,宇和島市・八幡浜市・大洲市・西予市・愛南町,今治市・松山市・西予市・内子町・上島町,0,今治市・新居浜市・西条市・四国中央市・上島町,東予は今治市、新居浜市、西条市、四国中央市、上島町で構成される。,S01,愛媛県庁「県内市町情報」,https://www.pref.ehime.jp/page/14990.html
EHIME-004,県土・市町・地域区分,single_choice,basic,False,次のうち、中予地域に含まれる市町の組合せとして正しいものはどれか。,今治市・新居浜市・西条市・四国中央市・上島町,松山市・伊予市・東温市・久万高原町・松前町・砥部町,宇和島市・八幡浜市・大洲市・西予市・内子町,松山市・今治市・西条市・伊予市・東温市,1,松山市・伊予市・東温市・久万高原町・松前町・砥部町,中予は松山市、伊予市、東温市、久万高原町、松前町、砥部町で構成される。,S01,愛媛県庁「県内市町情報」,https://www.pref.ehime.jp/page/14990.html
EHIME-005,県土・市町・地域区分,single_choice,basic,False,次のうち、南予地域に含まれる市町の組合せとして正しいものはどれか。,宇和島市・八幡浜市・大洲市・西予市・内子町・伊方町・松野町・鬼北町・愛南町,松山市・伊予市・東温市・久万高原町・松前町・砥部町,今治市・新居浜市・西条市・四国中央市・上島町,大洲市・西条市・東温市・伊方町・愛南町,0,宇和島市・八幡浜市・大洲市・西予市・内子町・伊方町・松野町・鬼北町・愛南町,南予は宇和島市、八幡浜市、大洲市、西予市、内子町、伊方町、松野町、鬼北町、愛南町で構成される。,S01,愛媛県庁「県内市町情報」,https://www.pref.ehime.jp/page/14990.html
EHIME-006,県土・市町・地域区分,single_choice,basic,True,令和7年10月1日現在の愛媛県の面積として正しいものはどれか。,"約3,760平方キロメートル","約5,676平方キロメートル","約7,255平方キロメートル","約9,600平方キロメートル",1,"約5,676平方キロメートル","令和7年10月1日現在の愛媛県の面積は5,675.82平方キロメートルである。",S03,愛媛県庁「全国都道府県市区町村別面積調」,https://www.pref.ehime.jp/page/3009.html
EHIME-007,県土・市町・地域区分,single_choice,standard,True,令和7年10月1日現在の愛媛県の面積の全国順位として正しいものはどれか。,第16位,第21位,第26位,第36位,2,第26位,愛媛県の面積は全国第26位である。,S03,愛媛県庁「全国都道府県市区町村別面積調」,https://www.pref.ehime.jp/page/3009.html
EHIME-008,県土・市町・地域区分,single_choice,basic,False,愛媛県にある石鎚山の標高として正しいものはどれか。,"1,382m","1,582m","1,982m","2,282m",2,"1,982m","石鎚山は標高1,982mで、近畿以西の西日本最高峰とされている。",S05,愛媛県庁「愛媛の水事情 1.地勢と気候」,https://www.pref.ehime.jp/page/5050.html
EHIME-009,県土・市町・地域区分,single_choice,standard,False,愛媛県の海岸線について正しいものはどれか。,約170kmで全国第35位,約700kmで全国第15位,"約1,700kmで全国第5位","約3,000kmで全国第1位",2,"約1,700kmで全国第5位","愛媛県の海岸線は約1,700kmに及び、全国第5位とされている。",S04,愛媛県「第1章 愛媛を取り巻く環境の現状」,https://www.pref.ehime.jp/uploaded/attachment/173901.pdf
EHIME-010,県土・市町・地域区分,single_choice,standard,False,愛媛県の地形について、県資料の説明として最も適切なものはどれか。,県全域が平野で、山地はほとんどない,中央構造線を境に、北側に瀬戸内海沿いの平野、南側に四国山地等が広がる,県北部は日本海に面している,佐田岬半島以南は砂丘海岸が主体である,1,中央構造線を境に、北側に瀬戸内海沿いの平野、南側に四国山地等が広がる,県資料では、中央構造線を境に北側に瀬戸内海沿いの平野、南側に四国山地や四国カルストが広がると説明されている。,S04,愛媛県「第1章 愛媛を取り巻く環境の現状」,https://www.pref.ehime.jp/uploaded/attachment/173901.pdf
EHIME-011,県土・市町・地域区分,single_choice,standard,False,佐田岬半島から南の宇和海沿岸の地形として、県資料に示されている特徴はどれか。,遠浅の砂浜海岸,リアス海岸,氷河地形,干拓平野,1,リアス海岸,県資料では、佐田岬半島から南の宇和海沿岸は入り江の多いリアス海岸とされている。,S04,愛媛県「第1章 愛媛を取り巻く環境の現状」,https://www.pref.ehime.jp/uploaded/attachment/173901.pdf
EHIME-012,県土・市町・地域区分,single_choice,standard,False,平成の市町村合併前、平成11年3月31日現在の愛媛県内市町村数として正しいものはどれか。,30,50,70,90,2,70,平成11年3月31日現在で70あった市町村が合併により再編され、現在の20市町となった。,S01,愛媛県庁「県内市町情報」,https://www.pref.ehime.jp/page/14990.html
EHIME-013,人口・統計,single_choice,basic,True,令和8年4月1日現在の愛媛県の推計人口として正しいものはどれか。,"1,048,018人","1,248,018人","1,448,018人","1,648,018人",1,"1,248,018人","令和8年4月1日現在の愛媛県の総人口は1,248,018人である。",S02,愛媛県庁「愛媛県推計人口」,https://www.pref.ehime.jp/page/3340.html
EHIME-014,人口・統計,single_choice,standard,True,令和8年4月1日現在の愛媛県の世帯数として正しいものはどれか。,"399,177世帯","499,177世帯","599,177世帯","699,177世帯",2,"599,177世帯","令和8年4月1日現在の世帯数は599,177世帯である。",S02,愛媛県庁「愛媛県推計人口」,https://www.pref.ehime.jp/page/3340.html
EHIME-015,人口・統計,single_choice,standard,True,令和8年4月1日現在の愛媛県の人口は前月比でどうなったか。,"4,358人増加","4,358人減少",343人減少,変化なし,1,"4,358人減少","総人口は前月に比べ4,358人減少した。",S02,愛媛県庁「愛媛県推計人口」,https://www.pref.ehime.jp/page/3340.html
